Timestamp,Please Enter Your Name,General Availability Mon/Wed/Fri,General Availability Tuesday/Thursday,General Availability Saturday/Sunday
2017/04/25 10:15:55 PM MDT,John 1,8 - 10 am;2 - 4 pm;4 - 6 pm,2 - 4 pm;4 - 6 pm;6 - 8 pm,10 - 12 pm;12 - 2 pm;2 - 4 pm
2017/04/25 10:16:25 PM MDT,smakens,8 - 10 am;10 - 12 pm,10 - 12 pm;4 - 6 pm;6 - 8 pm,4 - 6 pm;6 - 8 pm;8 - 10 pm
2017/04/25 10:16:43 PM MDT,Rafael,8 - 10 am;10 - 12 pm;12 - 2 pm,8 - 10 am;12 - 2 pm;2 - 4 pm,12 - 2 pm;2 - 4 pm;4 - 6 pm
2017/04/25 10:16:58 PM MDT,hahah suck a cock,10 - 12 pm;12 - 2 pm;2 - 4 pm,4 - 6 pm;6 - 8 pm;8 - 10 pm,12 - 2 pm
2017/04/25 10:17:17 PM MDT,still ham,8 - 10 am;12 - 2 pm;2 - 4 pm;4 - 6 pm,8 - 10 am;10 - 12 pm;2 - 4 pm,2 - 4 pm;4 - 6 pm;6 - 8 pm
2017/04/25 10:17:40 PM MDT,hey hey,8 - 10 am;10 - 12 pm;12 - 2 pm,4 - 6 pm;6 - 8 pm;8 - 10 pm,10 - 12 pm;12 - 2 pm;2 - 4 pm
2017/04/25 10:18:11 PM MDT,betsy Devose,10 - 12 pm;12 - 2 pm,6 - 8 pm;8 - 10 pm,10 - 12 pm;12 - 2 pm
2017/04/25 10:18:32 PM MDT,talent lies ,10 - 12 pm;12 - 2 pm;2 - 4 pm,4 - 6 pm;6 - 8 pm;8 - 10 pm,12 - 2 pm;2 - 4 pm;6 - 8 pm
2017/04/25 10:19:14 PM MDT,poke poes,8 - 10 am;12 - 2 pm;6 - 8 pm;8 - 10 pm,4 - 6 pm;6 - 8 pm,2 - 4 pm;4 - 6 pm
2017/04/25 10:19:32 PM MDT,nine yesr,10 - 12 pm;12 - 2 pm;2 - 4 pm,2 - 4 pm;4 - 6 pm;6 - 8 pm,2 - 4 pm;4 - 6 pm;8 - 10 pm
2017/04/25 10:19:53 PM MDT,I still love you,10 - 12 pm;2 - 4 pm;4 - 6 pm,12 - 2 pm;6 - 8 pm;8 - 10 pm,10 - 12 pm;12 - 2 pm;2 - 4 pm
2017/04/25 10:20:18 PM MDT,peni,10 - 12 pm;12 - 2 pm,2 - 4 pm;4 - 6 pm,10 - 12 pm;12 - 2 pm;2 - 4 pm;4 - 6 pm
2017/04/25 10:20:37 PM MDT,so close,8 - 10 am;10 - 12 pm;12 - 2 pm,8 - 10 am;10 - 12 pm;12 - 2 pm,12 - 2 pm;2 - 4 pm;6 - 8 pm
2017/04/25 10:20:59 PM MDT,only 2,8 - 10 am;4 - 6 pm;6 - 8 pm,10 - 12 pm;12 - 2 pm;2 - 4 pm,8 - 10 am;6 - 8 pm;8 - 10 pm
2017/04/25 10:21:15 PM MDT,last ones,12 - 2 pm;2 - 4 pm,8 - 10 pm,10 - 12 pm;12 - 2 pm;4 - 6 pm
